Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-20T03:05:00+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 3.56, 4.19, 4.46
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Fok_Executed/16/iterations:2000_mean                                         519 ns          519 ns            5 items_per_second=30.8166M/s
BM_Fok_Executed/16/iterations:2000_median                                       515 ns          515 ns            5 items_per_second=31.068M/s
BM_Fok_Executed/16/iterations:2000_stddev                                      11.4 ns         11.5 ns            5 items_per_second=668.711k/s
BM_Fok_Executed/16/iterations:2000_cv                                          2.19 %          2.21 %             5 items_per_second=2.17%
BM_Fok_Executed/64/iterations:1000_mean                                        2111 ns         2109 ns            5 items_per_second=30.352M/s
BM_Fok_Executed/64/iterations:1000_median                                      2098 ns         2097 ns            5 items_per_second=30.5198M/s
BM_Fok_Executed/64/iterations:1000_stddev                                      36.4 ns         32.7 ns            5 items_per_second=469.117k/s
BM_Fok_Executed/64/iterations:1000_cv                                          1.72 %          1.55 %             5 items_per_second=1.55%
BM_Fok_Executed/256/iterations:500_mean                                        8924 ns         8896 ns            5 items_per_second=28.7797M/s
BM_Fok_Executed/256/iterations:500_median                                      8883 ns         8868 ns            5 items_per_second=28.8678M/s
BM_Fok_Executed/256/iterations:500_stddev                                       124 ns         97.5 ns            5 items_per_second=315.048k/s
BM_Fok_Executed/256/iterations:500_cv                                          1.38 %          1.10 %             5 items_per_second=1.09%
BM_Fok_Executed/1024/iterations:256_mean                                      35399 ns        35335 ns            5 items_per_second=28.9798M/s
BM_Fok_Executed/1024/iterations:256_median                                    35438 ns        35348 ns            5 items_per_second=28.9694M/s
BM_Fok_Executed/1024/iterations:256_stddev                                      109 ns         90.1 ns            5 items_per_second=73.9385k/s
BM_Fok_Executed/1024/iterations:256_cv                                         0.31 %          0.25 %             5 items_per_second=0.26%
