Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T22:46:18+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 5.10, 5.14, 5.06
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Fok_Executed/64/iterations:1000_mean                                        2592 ns         2546 ns            5 items_per_second=25.1978M/s
BM_Fok_Executed/64/iterations:1000_median                                      2487 ns         2478 ns            5 items_per_second=25.8273M/s
BM_Fok_Executed/64/iterations:1000_stddev                                       222 ns          145 ns            5 items_per_second=1.36621M/s
BM_Fok_Executed/64/iterations:1000_cv                                          8.56 %          5.70 %             5 items_per_second=5.42%
BM_Fok_Executed/256/iterations:500_mean                                       10382 ns        10278 ns            5 items_per_second=24.9136M/s
BM_Fok_Executed/256/iterations:500_median                                     10319 ns        10222 ns            5 items_per_second=25.044M/s
BM_Fok_Executed/256/iterations:500_stddev                                       199 ns          193 ns            5 items_per_second=466.069k/s
BM_Fok_Executed/256/iterations:500_cv                                          1.92 %          1.88 %             5 items_per_second=1.87%
BM_Fok_Executed/1024/iterations:256_mean                                      45537 ns        45391 ns            5 items_per_second=22.5624M/s
BM_Fok_Executed/1024/iterations:256_median                                    45362 ns        45254 ns            5 items_per_second=22.6279M/s
BM_Fok_Executed/1024/iterations:256_stddev                                      611 ns          592 ns            5 items_per_second=295.691k/s
BM_Fok_Executed/1024/iterations:256_cv                                         1.34 %          1.31 %             5 items_per_second=1.31%
